epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 1.001602564102564 1.001602564102564
1 11.231971153846153 11.610576923076923 19.751602564102566 21.484375
2 23.004807692307693 22.58213141025641 31.600560897435898 29.77764423076923
3 30.751201923076923 30.256410256410255 37.1494391025641 38.772035256410255
4 35.72716346153846 35.46875 41.04567307692308 40.79527243589744
5 38.024839743589745 37.79447115384615 40.39463141025641 41.03565705128205
6 38.81410256410256 38.359375 40.47475961538461 40.755208333333336
7 39.71554487179487 39.30088141025641 40.494791666666664 37.990785256410255
8 40.45873397435897 39.99399038461539 38.03084935897436 41.60657051282051
9 42.25160256410256 41.588541666666664 40.86538461538461 41.07572115384615
10 43.439503205128204 43.06089743589744 44.28084935897436 41.78685897435897
11 44.96995192307692 44.80769230769231 43.91025641025641 42.63822115384615
12 46.35216346153846 45.80528846153846 45.26241987179487 43.359375
13 47.576121794871796 47.209535256410255 45.69310897435897 43.75
14 48.515625 48.30929487179487 44.140625 45.7431891025641
15 49.791666666666664 49.49719551282051 44.41105769230769 45.71314102564103
16 50.5849358974359 50.62099358974359 46.60456730769231 46.62459935897436
