epoch train_acc1 train_acc2 test_acc1 test_acc2
11 36.458333333333336 36.350160256410255 56.84094551282051 57.8525641025641
12 37.107371794871796 37.17147435897436 59.17467948717949 58.03285256410256
13 37.59615384615385 37.57011217948718 57.24158653846154 57.75240384615385
14 37.98277243589744 37.86057692307692 58.89423076923077 58.04286858974359
15 38.16706730769231 38.024839743589745 59.19471153846154 58.96434294871795
16 38.46754807692308 38.29326923076923 59.875801282051285 59.46514423076923
17 38.79407051282051 38.49759615384615 58.693910256410255 60.73717948717949
18 38.8681891025641 38.73998397435897 60.59695512820513 61.10777243589744
19 39.36097756410256 39.11057692307692 60.09615384615385 60.076121794871796
20 35.857371794871796 35.61698717948718 56.34014423076923 54.52724358974359
21 36.27403846153846 36.06370192307692 58.45352564102564 58.333333333333336
22 36.99719551282051 36.86698717948718 57.60216346153846 58.27323717948718
23 37.36177884615385 37.17147435897436 58.73397435897436 58.64383012820513
24 37.80649038461539 37.49198717948718 57.341746794871796 54.44711538461539
25 37.634214743589745 37.31570512820513 59.22475961538461 59.25480769230769
26 37.89663461538461 37.59014423076923 57.04126602564103 60.35657051282051
27 38.42748397435897 38.09495192307692 59.505208333333336 59.375
28 38.42748397435897 38.20913461538461 60.24639423076923 58.513621794871796
29 38.37740384615385 38.34935897435897 60.60697115384615 58.483573717948715
30 38.40344551282051 38.02283653846154 58.66386217948718 58.102964743589745
31 38.63782051282051 38.697916666666664 59.04447115384615 58.74399038461539
32 38.802083333333336 38.32532051282051 59.46514423076923 59.274839743589745
33 38.73998397435897 38.517628205128204 60.47676282051282 60.09615384615385
34 38.83413461538461 38.85216346153846 60.73717948717949 58.693910256410255
35 39.040464743589745 38.828125 59.60536858974359 58.693910256410255
36 39.31690705128205 38.96834935897436 60.33653846153846 60.657051282051285
37 39.172676282051285 38.71394230769231 60.31650641025641 59.88581730769231
38 39.32491987179487 39.1806891025641 59.685496794871796 60.22636217948718
39 39.216746794871796 39.42307692307692 61.59855769230769 60.38661858974359
40 39.23878205128205 39.3349358974359 59.51522435897436 60.1161858974359
41 39.57932692307692 39.006410256410255 60.63701923076923 60.256410256410255
42 39.4931891025641 39.33894230769231 60.27644230769231 58.66386217948718
43 39.485176282051285 39.3369391025641 59.7255608974359 58.26322115384615
44 39.557291666666664 39.44310897435897 60.9775641025641 60.57692307692308
45 39.61738782051282 39.36298076923077 61.07772435897436 59.31490384615385
46 39.51322115384615 39.817708333333336 61.197916666666664 59.485176282051285
47 39.485176282051285 39.60136217948718 61.44831730769231 60.9375
48 39.52123397435897 39.67147435897436 60.90745192307692 60.99759615384615
49 39.895833333333336 39.869791666666664 61.328125 62.219551282051285
50 40.01402243589744 39.7275641025641 60.8974358974359 61.999198717948715
51 39.77564102564103 39.84775641025641 61.68870192307692 59.39503205128205
52 40.182291666666664 39.89383012820513 59.375 59.51522435897436
53 39.84975961538461 40.37660256410256 60.90745192307692 60.9375
54 40.16826923076923 40.01402243589744 61.18790064102564 60.73717948717949
55 40.01001602564103 40.16225961538461 61.57852564102564 60.57692307692308
56 40.12019230769231 39.89783653846154 62.009214743589745 61.56850961538461
57 40.24238782051282 40.10616987179487 61.66866987179487 60.60697115384615
58 39.92788461538461 40.266426282051285 60.92748397435897 61.52844551282051
59 40.18629807692308 39.947916666666664 62.34975961538461 62.109375
60 40.37059294871795 40.09214743589744 61.35817307692308 61.037660256410255
61 40.50480769230769 40.42067307692308 61.65865384615385 61.07772435897436
